Q100	city in and state capital of Massachusetts, United States
Q607383	American basketball player
Q607394	American astronaut
Q6074	2015 American epic space opera film directed by J. J. Abrams
Q60740298	2019 television film directed by Daniel Minahan
Q60741406	American television series
Q6074184	Canadian ice hockey defenceman
Q607420	town in Litchfield County, Connecticut, United States
Q60742846	municipality in Vestland, Norway
Q6075	German district in Saxony-Anhalt
Q60752	German-American chess player
Q607524	1939 film by George Marshall
Q607615	American film director, producer and screenwriter
Q607642	commune in Isère, France
Q607643	2004 film by Danny Leiner
Q607666	borough in New Jersey
Q607678	American actor
Q60772	German politician, president of the European Commission
Q607724	commune in Pyrénées-Atlantiques, France
Q607737	municipality of Spain
Q60776254	2020 edition of the Vuelta a España
Q60776367	British television drama series
Q607765	Canadian ice hockey player
Q60777	German politician (1934-1994)
Q60777023	municipality of Norway
Q607910	1997 American action film by Simon West
Q607930	Russian basketball player
Q607936	Canadian ice hockey player
Q6079617	railway station in Uji, Kyoto prefecture, Japan
Q607965	third Italian soccer championship
Q6079783	road in Japan
Q608029	Australian soccer player
Q6080325	railway station in Higashiosaka, Osaka prefecture, Japan
Q60804	German political scientist
Q6080457	railway station in Sakai, Osaka prefecture, Japan
Q608047	cycling race
Q608058	American ice hockey player, coach, college athletic administrator
Q60806432	municipality in Norway
Q60809	American photographer and environmentalist
Q6081	German district of Saxony-Anhalt
Q608122	association football club
Q608126	Uruguayan footballer (1945-2013)
Q608207	city in Ohio, USA
Q60822	German racing cyclist
Q608231	commune in Haute-Garonne, France
Q608264	Dutch painter (1643-1691)
Q608267	arrondissement of France
Q608293	town in Ulster County, New York, United States
Q608327	Canadian ice hockey player
Q608335	commune in Pyrénées-Atlantiques, France
Q608370	1942 film by René Clair
Q6084	American military drama/police procedural television series
Q608404	Canadian ice hockey player
Q6085119	1948 film by Norman Z. McLeod
Q608514	American basketball player-coach
Q60852837	former lighthouse on Neuwerk, Germany
Q608544	commune in Ille-et-Vilaine, France
Q60857	German road bicycle racer
Q60858	film director from Germany
Q608587	commune in Haute-Garonne, France
Q6086248	association football season in Spain
Q608651	commune in Tarn, France
Q608659	human spaceflight
Q6087	German district in Saxony-Anhalt
Q608709	American actor
Q608732	commune in Gers, France
Q608775	Brazilian footballer and manager
Q6088	Italian city in Piedmont
Q6088924	community in Paphos District, Republic of Cyprus
Q60891	German astronomer
Q608943	1962 film by John Frankenheimer
Q608980	Brazilian footballer
Q608988	association football club in France
Q6090056	television program
Q609025	episode of The West Wing
Q609028	city in Luhansk Oblast, Ukraine
Q6090638	episode of Star Trek: Deep Space Nine (S7 E10)
Q6090671	1994 film by Adam Bernstein
Q609091	1989 film by John Hughes
Q60910	international airport serving Milan, Italy
Q609134	commune in Val-de-Marne, France
Q6091779	1936 film by Roy Del Ruth
Q6092	German district in Saxony-Anhalt
Q609236	2012 film by Ken Kwapis
Q609237	American chess player
Q609274	American television police drama (1993–2005)
Q609312	1977 American horror film directed by Michael Winner
Q609316	American actor (1904-1991)
Q609350	city in Hyōgo Prefecture, Japan
Q609409	commune in Hautes-Pyrénées, France
Q609464	British television, film and voice actor
Q609467	1977 film by Peter Hyams
Q60947	German footballer (1924-1974)
Q609517	human spaceflight
Q609527	American professional basketball player
Q60954	German politician and lawyer (1904-1964)
Q60956	city in Israel
Q609569	commune in Gers, France
Q609584	Finnish ice hockey player
Q609589	ice hockey player
Q609597	1940 romance film
Q6096	American rapper, singer, actor and record producer
Q609635	road
Q609639	American astronaut
Q60964306	cycling race
Q60964607	cycling race
Q609690	commune in Aude, France
Q609698	city in Ohio, United States
Q609708	Eritrean racing cyclist
Q60971	American basketball player and coach
Q609720	Professional hockey player
Q609738	Finnish ice hockey player
Q6098	German district in Saxony-Anhalt
Q609834	Czech ice hockey player
Q609860	American athlete and actor (1914-1994)
Q60991	German World War II U-boat captain
Q609927	commune in Ardennes, France
Q609967	human spaceflight
Q61	capital city of the United States
Q610023	commune in Ardennes, France
Q6100339	railway station in Midori, Gunma prefecture, Japan
Q6100410	railway station in Katsuragi, Nara prefecture, Japan
Q6100483	railway station in Shimane Prefecture, Japan
Q6100498	railway station in Misato, Ochi district, Shimane prefecture, Japan
Q61005	county in Arkansas, United States
Q61007	county in Arkansas, United States
Q61010	county in Arkansas, United States
Q610119	commune in Hautes-Pyrénées, France
Q61012	county in Arkansas, United States
Q61013	German politician (1930-2010)
Q61014	county in Arkansas, United States
Q610142	season of television series
Q61015259	municipality in Norway (est. 2020)
Q610159	2005 Canadian-American superhero film directed by Rob Bowman
Q610163	written and directed by Woody Allen
Q61018	county in Arkansas, United States
Q6102	rural district of Saxony-Anhalt, Germany
Q61020	county in Arkansas, United States
Q610213	commune in Aude, France
Q61024	county in Arkansas, United States
Q610245	commune in Tarn-et-Garonne, France
Q61026	county in Arkansas, United States
Q61029	county in Arkansas, United States
Q61032	county in Arkansas, United States
Q61034	county in Arkansas, United States
Q61036	county in Arkansas, United States
Q610380	Mexican basketball player
Q61039	county in Arkansas, United States
Q61040	German biologist
Q61042	county in Arkansas, United States of America
Q610421	1996 film produced by Walt Disney Pictures
Q610446	basketball team
Q61046	German American mathematician (1888-1972)
Q61048	county in Arkansas, United States
Q61049	German professional road bicycle racer
Q610502	1998 American animated film
Q610516	railway station in Kita-ku, Osaka, Japan, operated by Hankyu Railway
Q6106	city in Oregon, USA
Q610605	Moroccan footballer
Q610621	association football club in Carpi, Italy
Q61064	Russian painter (1866-1944)
Q610681	2014 flight to the International Space Station
Q610705	Spanish basketball player
Q61071	German architect (1883-1969)
Q6107430	American film editor
Q61077	county in Arkansas, United States
Q610775	ice hockey player
Q6108035	Costa Rican footballer
Q610815	cycling team
Q6108171	Argentinian association football player (1955-2015)
Q61083	Margrave of Baden-Durlach from 1709 until his death
Q61084	county in Arkansas, United States
Q610850	Italian footballer
Q61086	county in Arkansas, United States
Q61089	state capital of Malacca, Malaysia
Q6109	District in Brandenburg state, Germany
Q61090	German physicist
Q610903	literary award given for for science fiction or fantasy short stories
Q61092	state capital of Penang, Malaysia
Q610930	city
Q610943	railway station in Takasago, Hyogo prefecture, Japan
Q610976	football tournament season
Q611033	Mexican footballer
Q611100	British satirical television series
Q611117	Swedish ice hockey player
Q6111277	Canadian ice hockey player
Q6111338	American photographer
Q6111442	American ice hockey player
Q6112052	Argentine association football player
Q611207	commune in Ariège, France
Q6112089	Latvian basketball player
Q611222	association football club in Italy
Q611266	American actor (1907-1994)
Q6112749	Canadian ice hockey player and coach
Q61129	county in Arkansas, United States
Q61131	county in Arkansas, United States
Q6113231	Spanish cyclist
Q6113268	English association football player (born 1990)
Q611342	American ice hockey player
Q61135	county in Arkansas, United States
Q61138	county in Arkansas, United States
Q611380	commune in Haute-Garonne, France
Q611404	2003 biographical drama movie on Martin Luther directed by Eric Till
Q611413	Portuguese footballer
Q61142	German tennis player
Q611424	1980 film by Clint Eastwood
Q61145	county in Arkansas, United States
Q61148	county in Arkansas, United States
Q611494	community in Limassol District, Republic of Cyprus
Q6115	District in Brandenburg, Germany
Q61150	county in Arkansas, United States
Q6115146	Canadian hockey player
Q61153	county in Arkansas, United States
Q6115352	English association football player (born 1994)
Q611541	the 14th expedition to the Mir space station
Q61157	county in Arkansas, United States
Q61160	county in Arkansas, United States
Q611603	Italian footballer
Q61161	German cyclist
Q61162252	Italian comune
Q611642	city in Shiga Prefecture, Japan
Q6116464	tropical and subtropical grasslands, savannas, and shrublands ecoregion of southeastern Africa
Q61165	county in Arkansas, United States
Q61166	German chemist
Q61167	county in Arkansas, United States
Q611672	American novelist, essayist, bookseller and screenwriter
Q61170	county in Arkansas, United States
Q611701	American ice hockey player
Q611704	American astronaut
Q61173	county in Arkansas, United States
Q611756	American basketball player
Q61176	county in Arkansas, United States
Q611774	American ice hockey player
Q61181	county in Arkansas, United States
Q611871	basketball player
Q611885	association football club
Q6119	district in Brandenburg state, Germany
Q611933	Brazilian footballer
Q61195	German educational theorist (1854-1932)
Q6119601	Flemish printmaker and painter (1573-1645)
Q611966	1957 film by Stanley Kramer
Q612	city in the United Arab Emirates
Q61200	county in Arkansas, United States
Q61201	German physicist
Q61202	county in Arkansas, United States
Q6120245	American actress (1912-1998)
Q61204	county in Arkansas, United States
Q612055	commune in Isère, France
Q612073	Brazilian footballer and manager (1943-2019)
Q612096	1932 film by John M. Stahl
Q6120984	Dutch illustrator, painter and art forger (1912-1977)
Q612145	arrondissement of France
Q61215	Road bicycle racer
Q61216	county in Arkansas, United States
Q6121721	Brazilian association football player
Q61219	German football executive and former player
Q6122	Italian comune
Q61223	German mathematician
Q61224	Russian mathematician
Q61225	German footballer
Q612337	Ghanaian footballer
Q6123726	Argentine American artist
Q6123771	Chilean footballer
Q61245	Prince-elector of the Palatinate from 1544 to 1556
Q6125	district in Brandenburg state, Germany
Q612540	1937 film by Victor Fleming, Sidney Franklin, Gustav Machatý
Q6125605	Spanish association football player
Q612573	commune in Hautes-Pyrénées, France
Q61260	German actor, director, intendant
Q6126030	Madrid regional heath service
Q612680	television series
Q612734	railway station in Kobe, Hyogo prefecture, Japan, operated by Hankyu Corporation
Q612769	commune in Vienne, France
Q612773	City in Luhansk Oblast (province) of Ukraine
Q612786	Dutch road cyclist
Q612823	Senegalese footballer
Q612838	Nigerian footballer
Q612852	Colombian footballer
Q61289	county in Arkansas, United States
Q61289323	comune in Veneto, Italy
Q61289617	Italian municipality in the province of Treviso, Veneto
Q61294	county in Arkansas, United States
Q612945	commune in Hérault, France
Q61296	county in Arkansas, United States
Q6129613	American actor (1891-1973)
Q612972	former commune in Calvados, France
Q613	one of the seven emirates of the United Arab Emirates
Q61300	German scientist
Q613008	commune in Marne, France
Q613023	human spaceflight
Q6130501	American actor (1886-1968)
Q61306	Capital city of Guanajuato, Mexico
Q61307	German politician (SPD)
Q61315	county in Arkansas, United States
Q61317	county in Arkansas, United States
Q6132	district in Brandenburg, Germany
Q613213	Italian track cyclist and bicycle racer
Q613217	former commune in Manche, France
Q613234	Serbian basketball player
Q61327	county in Arkansas, United States
Q613284	1935 film by Rouben Mamoulian, Lowell Sherman
Q61330	county in Arkansas, United States
Q613302	railway line in Japan
Q613319	American baseball player
Q61332	German architect
Q61339	county in Arkansas, United States
Q61342	German architect
Q613447	commune in Lozère, France
Q613451	commune in Vaucluse, France
Q61346	county in Arkansas, United States
Q61348	county in Arkansas, United States
Q61350	county in Arkansas, United States
Q61352	county in Arkansas, United States
Q61353	German archbishop of Mainz, later of Regensburg
Q61354	county in Arkansas, United States
Q613546	commune in Lozère, France
Q61355	county in Arkansas, United States
Q613569	airport in Dallas, Texas, United States
Q61358	county in Arkansas, United States
Q613627	commemorative medal of the Soviet Union
Q61363	county in Arkansas, United States
Q6136785	American film producer
Q61368	county in Arkansas, United States
Q61370	county in Arkansas, United States
Q613705	Comedian, film actor
Q6137080	American television and film actor (1921-1969)
Q61374	German theologian
Q613766	Railway station in Stuttgart, Germany
Q61377	Tunisian association football player
Q613777	Finnish ice hockey player
Q61379	county in Arkansas, United States
Q61381	county in Arkansas, United States
Q613813	town in Vas county, Hungary
Q61384	county in Arkansas, United States
Q6138445	New Zealand association footballer
Q613852	British artist
Q613866	Montenegrin basketball player
Q613881	Paraguayan footballer
Q6139	District in Brandenburg state, Germany
Q6139116	Venezuelan baseball player
Q613989	municipality in Gelderland, the Netherlands
Q614006	commune in Jura, France
Q614009	2003 film by Woody Allen
Q61407	German classical archaeologist and historian of classical antiquity (1814-1896)
Q614074	Puerto Rican basketball player
Q6141049	British Army general and artist (1779-1847)
Q61414	county in Arkansas, United States
Q614160	actor, stuntman (1919-1989)
Q6142	district in Brandenburg state, Germany
Q614207	sports season
Q61423	German classical archaeologist
Q61432	city in Manitoba, Canada
Q614324	Hungarian football player (1974-2006)
Q6143321	Dominican Republic baseball player
Q6144664	2015 American animated film produced by Pixar
Q614470	Turkish footballer
Q61449050	Dutch cyclist
Q614497	Canadian ice hockey player
Q614522	American basketball player
Q6145303	American photographer
Q61455	county seat city in Craighead County, Arkansas, USA
Q61456	German lawyer, writer and historian
Q614574	American science fiction television series that premiered on Syfy on July 18, 2006
Q61458	county in Arkansas, United States
Q61461	county in Arkansas, United States
Q61463	German classical scholar
Q614646	commune in Gers, France
Q61465713	cycling race
Q61468	county in Arkansas, United States
Q61470	county in Arkansas, United States
Q6147026	Canadian ice hockey player
Q61472	county in Arkansas, United States
Q614754	city
Q614771	Russian footballer
Q614774	American actress
Q61478	county in Arkansas, United States
Q614782	railway station in Hikone, Shiga, Japan
Q614791	Czech ice hockey player
Q61480	city and urban gmina of Poland
Q61481	county in Arkansas, United States
Q61483587	cycling race
Q61484	county in Arkansas, United States
Q614851	German actor
Q614864	1957 film by Joshua Logan
Q614881	commune in Tarn, France
Q6148910	railway station in Okayama, Okayama prefecture, Japan
Q6149	town in North Rhine-Westphalia, Germany
Q6149109	19th-century painter from the Northern Netherlands (1811-1866)
Q614918	football tournment edition
Q614920	German manufacturer of home appliances
Q6149405	Czech ice hockey player
Q614941	chess player
Q614950	1999 Biblical telefilm directed by Roger Young
Q614966	1995 film by Lesli Linka Glatter
Q614967	commune in Haute-Garonne, France
Q61500	county in Arkansas, United States
Q615003	railway station in Sakai, Osaka prefecture, Japan
Q6150148	Czech ice hockey player and Olympic athlete
Q61502	county in Arkansas, United States
Q615028	1940 film by Busby Berkeley
Q615034	association football tournament concluding in 2009
Q61507	German sculptor
Q6151665	2014 science fiction film directed by Michael Bay
Q615168	Argentine footballer
Q6152	District in Brandenburg state, Germany
Q61521	county in Arkansas, United States
Q61526	county in Arkansas, United States
Q615291	2002 film by Paul Schrader
Q615292	Brazilian footballer and manager
Q61530	German photographer
Q615357	Canadian ice hockey player
Q615452	commune in Gers, France
Q615461	2006 film by Finn Taylor
Q615501	commune in Pyrénées-Atlantiques, France
Q61552	actor (1924-1997)
Q615563	sports season
Q6156	district in Brandenburg state, Germany
Q615642	commune in Lot, France
Q6156701	road in Japan
Q6156705	road in Japan
Q6156706	road in Japan
Q6156710	road in Akita Prefecture, Japan
Q6156716	road in Japan
Q6156718	road in Japan
Q6156722	road in Yamagata Prefecture, Japan
Q6156724	road in Japan
Q6156730	road in Fukushima prefecture, Japan
Q6156734	road in Niigata prefecture, Japan
Q6156739	road in Japan
Q6156745	road in Japan
Q6156748	road in Japan
Q6156750	road in Japan
Q6156754	road in Japan
Q6156756	road in Japan
Q6156762	road in Japan
Q615677	commune in Haute-Garonne, France
Q6156779	road in Japan
Q6156783	road in Japan
Q6156786	road in Japan
Q6156790	road in Japan
Q6156795	road in Japan
Q6156798	road in Japan
Q6156804	road in Japan
Q6156814	road in Japan
Q6156818	road in Japan
Q6156825	road in Aichi prefecture, Japan
Q6156827	road in Japan
Q6156829	road in Japan
Q6156830	road in Japan
Q6156832	road in Ishikawa prefecture, Japan
Q6156839	road in Japan
Q6156843	road in Japan
Q6156846	road in Japan
Q6156852	road in Osaka prefecture, Japan
Q6156859	road in Japan
Q6156867	road in Japan
Q6156870	road in Japan
Q6156873	road in Japan
Q6156877	road in Japan
Q6156885	road in Japan
Q6156888	road in Japan
Q6156899	road in Japan
Q61569	alpine skier
Q6156903	road in Japan
Q6156909	road in Japan
Q6156911	road in Japan
Q6156918	road in Japan
Q615692	former commune in Lot, France
Q6156929	road in Japan
Q6156952	road in Japan
Q6156955	road in Japan
Q6156959	road in Oita prefecture, Japan
Q6156961	road in Japan
Q6156986	road in Hokkaido, Japan
Q6157	city in the region of Southern Ostrobothnia in Finland
Q61570	German physician
Q6157029	road in Aichi prefecture, Japan
Q6157033	road in Japan
Q6157042	road in Japan
Q6157044	road in Japan
Q6157049	road in Japan
Q6157056	road in Japan
Q6157057	road in Japan
Q6157058	road in Japan
Q615706	commune in Ariège, France
Q6157062	road in Japan
Q6157077	road in Japan
Q6157113	road in Japan
Q6157124	road in Japan
Q6157138	road in Japan
Q6157142	road in Japan
Q6157145	road in Japan
Q6157154	road in Niigata prefecture, Japan
Q6157155	road in Japan
Q6157157	road in Japan
Q6157161	road in Japan
Q6157165	road in Japan
Q6157174	road in Yamanashi prefecture, Japan
Q6157176	road in Japan
Q6157181	road in Japan
Q6157183	road in Japan
Q6157185	road in Japan
Q6157190	road in Japan
Q6157191	road in Japan
Q6157203	road in Japan
Q6157205	road in Japan
Q6157208	road in Japan
Q6157219	road in Japan
Q615722	Spanish municipality in the province of Granada
Q6157220	road in Japan
Q6157226	road in Japan
Q6157240	road in Japan
Q6157244	road in Japan
Q6157264	road in Japan
Q6157289	road in Akita prefecture, Japan
Q6157295	road in Japan
Q6157300	road in Japan
Q6157304	road in Japan
Q6157308	road in Niigata prefecture, Japan
Q6157312	road in Niigata prefecture, Japan
Q6157317	road in Japan
Q6157321	road in Japan
Q6157325	road in Chiba prefecture, Japan
Q6157329	road in Japan
Q6157333	road in Japan
Q6157339	road in Japan
Q6157344	road in Japan
Q6157348	road in Japan
Q6157354	road in Japan
Q6157359	road in Japan
Q6157368	road in Japan
Q6157375	road in Okayama prefecture, Japan
Q6157379	road in Japan
Q6157382	road in Japan
Q6157410	road in Japan
Q6157429	road in Aomori prefecture, Japan
Q6157438	road in Japan
Q6157441	road in Japan
Q6157443	road in Japan
Q6157449	road in Niigata prefecture, Japan
Q6157452	road in Japan
Q6157453	road in Japan
Q6157460	road in Japan
Q6157463	road in Japan
Q6157467	road in Japan
Q6157471	road in Japan
Q6157478	road in Japan
Q6157485	road in Japan
Q6157488	road in Shizuoka prefecture, Japan
Q615749	commune in Tarn-et-Garonne, France
Q6157496	road in Japan
Q6157502	road in Japan
Q6157504	road in Japan
Q6157507	road in Japan
Q6157517	road in Japan
Q6157529	road in Japan
Q6157534	road in Japan
Q6157543	road in Japan
Q6157545	road in Japan
Q6157552	road in Japan
Q6157556	road in Japan
Q6157562	road in Kumamoto prefecture, Japan
Q6157566	road in Japan
Q6157578	road in Japan
Q6157592	road in Japan
Q6157601	road in Japan
Q6157609	road in Japan
Q6157611	road in Japan
Q6157615	road in Japan
Q6157618	road in Saitama prefecture, Japan
Q6157632	road in Japan
Q6157639	road in Japan
Q6157641	road in Japan
Q6157643	road in Japan
Q6157649	road in Fukui prefecture, Japan
Q6157651	road in Japan
Q6157657	road in Osaka prefecture, Japan
Q6157659	national highway in Japan
Q6157664	road in Japan
Q6157671	road in Okayama prefecture, Japan
Q6157675	road in Japan
Q6157680	road in Japan
Q6157694	road in Japan
Q6157698	road in Japan
Q6157703	road in Japan
Q6157706	road in Japan
Q6157718	road in Japan
Q6157734	road in Japan
Q6157735	road in Japan
Q6157736	road in Japan
Q6157738	road in Japan
Q6157740	road in Japan
Q61578977	39th edition of the Vuelta a Murcia
Q615880	American actor
Q6159095	1958 film by Joseph Pevney
Q6159278	Filipino basketball player
Q615944	television series
Q615964	high-speed railway line in Japan  between Shin-Osaka and Hakata stations
Q6159949	PBA Basketball Player
Q616023	Argentine footballer (1940-2020)
Q616049	American basketball player
Q6160514	Czech photographer
Q616171	American cinematographer
Q616284	American ice hockey player
Q61629091	cycling race
Q6162921	Canadian ice hockey player
Q6163	district in North Rhine-Westphalia, Germany
Q6163393	Canadian ice hockey player
Q6163486	Canadian ice hockey player
Q61635	German botanist (1805-1872)
Q6163789	American television director
Q616380	professional Colombian football team based in Cúcuta
Q616402	American basketball player
Q61641355	2019 edition of the Deutschland Tour, cycling road race in Germany
Q61643	German World War II U-boat commander
Q616436	American basketball executive and retired player.
Q6165	district in Brandenburg state, Germany
Q61650	German botanist (1832-1897)
Q6165485	Costa Rican association football manager
Q616572	French basketball player
Q61657222	cycling race
Q616591	private liberal arts college in Oberlin, Ohio, United States
Q61659949	Canadian professional wrestler
Q616649	2012 film by Kirk Jones
Q616664	Brazilian association football player
Q6166903	Canadian-born American ice hockey player
Q6166988	American actor (1904-1982)
Q616700	1949 film by Raoul Walsh, Anthony Veiller
Q6167252	Deceased NBA basketball player
Q61673	Czechoslovak-German chess grandmaster (1924-2003)
Q61675	German basketball player
Q616755	Star Trek character
Q616766	commune in Hautes-Pyrénées, France
Q61678	German naturalist and professor of medicine (1793-1864)
Q6167928	census-designated place in Tulare County, California
Q6168169	2000 documentary miniseries directed by Ken Burns
Q616835	commune in Gers, France
Q616843	Paraguayan association football player
Q61686	German physicist
Q616860	commune in Territoire de Belfort, France
Q61686413	the 118th season of top-tier Italian football
Q616877	Czech city
Q616886	American documentary filmmaker
Q616905	university
Q61697	German scientist
Q61698	village of Baden-Württemberg, Germany, enclaved in the canton of Schaffhausen, Switzerland
Q616982	American actor
Q617	capital of the province of Padua, Veneto, Italy
Q6170086	basketball player
Q617029	suburb of Canberra, Australia
Q61704	municipality in Germany
Q6170516	actor
Q6170735	Canadian ice hockey player
Q617117	1996 film by Jeremiah S. Chechik
Q6171678	American actress (1923-1989)
Q617174	former commune in Cantal, France
Q6172076	1957 film by George Sidney
Q61721	German mathematician
Q617249	1993 film by Rowdy Herrington
Q617260	Lithuanian basketball player
Q6172615	American actor (1879-1956)
Q617274	1976 American crime drama television series
Q6173	district in Brandenburg state, Germany
Q617312	commune in Hautes-Pyrénées, France
Q61735	German-born British physicist
Q617352	Zambian footballer
Q617375	prefecture of Japan
Q6173822	Canadian ice hockey defenceman
Q6173926	film editor
Q6174011	Canadian ice hockey player
Q6174142	Canadian ice hockey player
Q61741521	2019 film directed by Vince Gilligan
Q6174184	Colombian footballer
Q617426	stock exchange in Madrid, Spain
Q6174318	Canadian ice hockey player
Q617433	university located in Syracuse, New York, United States
Q61745	German physicist
Q6174780	Costa Rican footballer
Q6174832	American ice hockey player
Q6175	men's cycling team
Q617528	Brazilian footballer and manager
Q61753	German mathematician
Q61758	German mathematician
Q61761	German physicist and politician (1902-1980)
Q61764504	2018 film directed by Ondřej Hudeček
Q617651	sixth manned spaceflight in NASA's Gemini program
Q61768	German mathematician
Q617681	commune in Haute-Garonne, France
Q617690	American cinematographer
Q61770	commune in Somme, France
Q617708	1978 Soviet manned spaceflight mission
Q617716	American basketball player
Q61774	German physicist and mineralogist
Q617745	Ecuadorian footballer
Q61775	commune in Somme, France
Q61776713	italian comune
Q617784	1934 American film
Q6178	district in Brandenburg state, Germany
Q6178257	city in Oregon, USA
Q617829	American basketball player
Q617833	1989 film by Neil Jordan
Q618091	American film and television production company
Q6180963	American basketball player
Q6181	District of Brandenburg state, Germany
Q618148	2013 edition of the FIBA EuroBasket
Q61815	German SS general
Q6181927	American ice hockey athlete
Q61823	German chess grandmaster
Q618329	American comedy-drama television series
Q618330	film director (1891-1975)
Q6183410	American ice hockey player
Q618352	American comedian, actor and producer
Q618361	mountain
Q6183896	Canadian ice hockey player
Q618527	1990 film by Sidney Lumet
Q618550	American basketball player
Q61859	American film director
Q618616	actor (1882-1956)
Q61862	German philosopher and theologian
Q61862304	16th season of the Football League Championship
Q61862323	the 82nd season of the Ligue 1
Q61862331	the 81st season of Cypriot First Division
Q61863	German classical philologist (1848-1931)
Q61864	German engineer
Q6186603	English association football player
Q6186868	American ice hockey player
Q6187	German district of North Rhine-Westphalia
Q618724	American actor
Q618741	1938 film by William Wyler
Q61874509	57th season of the Bundesliga
Q61880	Czech chess player
Q61881	German film producer and director
Q61882	German-american classical philologist
Q6188445	Spanish footballer
Q61885	German philosopher
Q6188870	1959 film by Byron Haskin
Q618979	day on which Japan surrendered, effectively ending World War II
Q61904	German paleontologist (1839-1904)
Q619048	2013 edition of the EuroBasket Women
Q61909	municipality in Germany
Q6191	German district of North Rhine-Westphalia
Q61914	Roman Catholic saint
Q61920	municipality in Germany
Q61928	municipality in Germany
Q61936	city in Bavaria, Germany
Q619407	football and rugby union stadium in Huddersfield, West Yorkshire, United Kingdom
Q619427	2013 video game
Q61944	city
Q61948784	cycling race
Q6195	Argentine-born Spanish professional road bicycle racer
Q6195909	American ice hockey player
Q619609	county in South Carolina, United States
Q6196192	American ice hockey player
Q6196477	Canadian ice hockey player and broadcaster
Q61965	Czech architect
Q6196652	Norwegian ice hockey player
Q6197405	American ice hockey player
Q61975	German physiologist
Q619807	crewed flight of the Soyuz programme
Q619811	crewed flight of the Soyuz programme
Q6198491	Canadian ice hockey player
Q6198695	American ice hockey player
Q61987	German philosopher, physician, painter (1789-1869)
Q619937	city in Saskatchewan, Canada
Q6199493	basketball player
Q619980	international airport serving Bergen, Norway
Q62	Consolidated city-county in California, United States.
Q62002	German photographer
Q620099	1995 film by Herbert Ross
Q620238	company
Q620244	battle of the American Civil War
Q6202867	1982 film by Don Siegel
Q62033168	2020 British horror television series
Q62033949	road cycling stage race in Hungary
Q62048	Queen consort of Portugal
Q620499	Japanese association football club
Q620606	Russian ice hockey player
Q620627	series of rugged dissected plateaus in the eastern United States
Q620655	2008 film by Ed Harris
Q620698	American basketball player
Q6207156	Canadian ice hockey player
Q62076	German footballer
Q62078	German footballer
Q620792	Spanish association football player
Q62091	German footballer
Q6209413	American ice hockey player
Q620942	central bank serving the West African Economic and Monetary Union
Q62097353	cycling race
Q62098	German footballer
Q62099	German film director and cinematographer
Q621	commune in Yvelines, France
Q6210	German district of North Rhine-Westphalia
Q621043	private research university in Atlanta, Georgia, United States
Q621055	type of train in Switzerland
Q6210765	American basketball player
Q62108	German physicist
Q621111	Russian ice hockey player
Q621120	association football club
Q6211331	Television writer
Q6211343	American ice hockey player and broadcaster
Q6211686	1946 film by Reginald Le Borg
Q6211726	Canadian ice hockey player
Q6211814	American ice hockey player
Q6211970	Canadian ice hockey player
Q6212115	American writer
Q621237	town in Wetteraukreis in Hesse, Germany
Q621364	American media company based in Burbank, California
Q6214	German district of North Rhine-Westphalia
Q62140	municipality in county Troms og Finnmark, Norway
Q621437	American composer and musician
Q62149	football stadium in Italy
Q621490	American actor, author, producer, and director
Q6215006	Dutch painter (1615-1686)
Q621502	basketball player
Q6215104	American photographer
Q621529	2006 film by M. Night Shyamalan
Q621549	city in California
Q6215626	painter from Germany
Q62158	town in Germany
Q621587	2011 film by Zack Snyder
Q62162	German football player
Q6216279	German Baroque painter (1630-1704)
Q62163	1933 film by Lowell Sherman
Q62166	Italian association football player
Q621676	military campaign during the American Civil War
Q621716	1943 American film by Mervyn LeRoy
Q6218	district of North Rhine-Westphalia
Q621818	American screenwriter, film director, film producer and film editor
Q62182	Brazilian-Italian footballer
Q621841	basketball player
Q62185	German politician (1901-1963)
Q621894	municipality in Wetteraukreis in Hesse, Germany
Q62193	German association football player
Q622	city in Baden-Württemberg, Germany
Q622030	municipality in Huelva, Spain
Q62208	German tennis player
Q6221	Italian city in Lombardy
Q622130	American Revolutionary War general
Q622164	municipality in Lahn-Dill-Kreis in Hesse, Germany
Q622167	municipality in Lahn-Dill-Kreis in Hesse, Germany
Q622170	German footballer
Q62218	coral island located in the South Pacific Ocean
Q6222279	American ice hockey player
Q622240	1967 film by Norman Jewison
Q622274	municipality in Landkreis Offenbach in Hesse, Germany
Q622282	episode of Star Trek: The Original Series (S1 E28)
Q62229	German biologist
Q6224	German district of North Rhine-Westphalia
Q622413	municipality in Werra-Meißner-Kreis in Hesse, Germany
Q622417	commune in Hérault, France
Q6224193	American ice hockey player
Q622422	commune in Pyrénées-Orientales, France
Q622428	municipality in Lahn-Dill-Kreis in Hesse, Germany
Q622430	football club
Q622432	association football club
Q62244	Italian footballer
Q622463	municipality in Werra-Meißner-Kreis in Hesse, Germany
Q62249	German artist (1878-1955)
Q6225	city in the West Midlands in England, UK
Q62252	Italian association football player
Q622594	city in Gifu Prefecture, Japan
Q6226	city and unparished area in southern Hertfordshire, England
Q622651	American screenwriter and producer
Q62266	municipality in Møre og Romsdal, Norway
Q622664	Public university in La Jolla, California, United States
Q622668	company
Q622706	commune in Aude, France
Q62271	German physicist
Q622734	basketball player
Q622737	Australian female professional basketball player
Q622742	2009 fantasy drama film directed by Spike Jonze
Q622758	2006 film by John A. Davis
